日期,距離,光線
2022-11-08 14:28:19,94.46173656305578,166.58524670249153
2022-11-08 14:28:22,94.88712151843544,170.4934049829019
2022-11-08 14:28:25,3.516767351760961,68.88128969223261
2022-11-08 14:28:28,5.961190464063491,60.08793356130915
2022-11-08 14:28:31,5.520375971931571,55.20273571079626
2022-11-08 14:28:34,3.250758014763306,56.179775280898795
2022-11-08 14:28:37,95.48664227073544,176.35564240351732
2022-11-08 14:28:40,96.22949123734577,169.51636541279913
2022-11-08 14:28:43,94.96840548633168,171.47044455300443
2022-11-08 14:28:46,95.31331313408916,175.3786028334148
2022-11-08 14:28:49,95.33241555302337,167.56228627259406
2022-11-08 14:28:52,94.77372557713832,174.40156326331226
2022-11-08 14:28:55,94.8468571199088,168.5393258426966
2022-11-08 14:28:58,95.3500247906511,170.4934049829019
2022-11-08 14:29:01,94.55865602396523,176.35564240351732
2022-11-08 14:29:04,94.87397465995741,170.4934049829019
2022-11-08 14:29:07,96.88364181944638,172.44748412310696
2022-11-08 14:29:10,95.62380896735303,173.4245236932095
2022-11-08 14:29:13,96.3564116220546,168.5393258426966
2022-11-08 14:29:16,97.37031584747032,177.33268197361986
2022-11-08 14:29:19,97.09955235901833,168.5393258426966
2022-11-08 14:29:22,95.25360305684382,177.33268197361986
2022-11-08 14:29:25,95.91660974694548,173.4245236932095
2022-11-08 14:29:28,97.37800487113091,168.5393258426966
2022-11-08 14:29:31,97.4326861888992,175.3786028334148
2022-11-08 14:29:34,97.19909775896213,177.33268197361986
2022-11-08 14:29:37,96.2338506390967,178.3097215437226
2022-11-08 14:29:40,96.76240238668322,178.3097215437226
2022-11-08 14:29:43,96.93724186843008,171.47044455300443
2022-11-08 14:29:46,97.80067807192034,168.5393258426966
2022-11-08 14:29:49,97.92552173412807,170.4934049829019
2022-11-08 14:29:52,97.51673339984114,170.4934049829019
2022-11-08 14:29:55,95.8448512438008,177.33268197361986
2022-11-08 14:29:58,96.27737600728341,168.5393258426966
2022-11-08 14:30:01,96.64917807601006,160.72300928187587
2022-11-08 14:30:04,95.83355799020785,174.40156326331226
2022-11-08 14:30:07,96.58517724877555,168.5393258426966
2022-11-08 14:30:10,97.36575048945843,164.63116756228624
2022-11-08 14:30:13,97.39269639839529,171.47044455300443
2022-11-08 14:30:16,96.9889883125287,174.40156326331226
2022-11-08 14:30:19,95.63656107563986,164.63116756228624
2022-11-08 14:30:22,95.71724433903516,173.4245236932095
2022-11-08 14:30:25,96.13325829649312,165.60820713238877
2022-11-08 14:30:28,97.10422069540459,173.4245236932095
2022-11-08 14:30:31,94.83832710838595,164.63116756228624
2022-11-08 14:30:34,94.74358734932758,168.5393258426966
2022-11-08 14:30:37,94.97619748787884,173.4245236932095
2022-11-08 14:30:40,97.52267179747884,171.47044455300443
2022-11-08 14:30:43,96.19439290181975,174.40156326331226
2022-11-08 14:30:46,96.02465083179953,166.58524670249153
2022-11-08 14:30:49,95.46808906784668,174.40156326331226
2022-11-08 14:30:52,95.47251712282281,166.58524670249153
2022-11-08 14:30:55,96.2464139549167,165.60820713238877
2022-11-08 14:30:58,95.82907844677624,170.4934049829019
2022-11-08 14:31:01,97.11118887288357,174.40156326331226
2022-11-08 14:31:04,97.08161702344898,174.40156326331226
2022-11-08 14:31:07,96.57433023334147,165.60820713238877
2022-11-08 14:31:10,95.35065982176462,173.4245236932095
2022-11-08 14:31:13,97.3529812168897,167.56228627259406
2022-11-08 14:31:16,96.90928334051921,165.60820713238877
2022-11-08 14:31:19,96.62290152284811,167.56228627259406
2022-11-08 14:31:22,96.14613054597282,166.58524670249153
2022-11-08 14:31:25,94.570927568944,165.60820713238877
2022-11-08 14:31:28,96.15752677745235,166.58524670249153
2022-11-08 14:31:31,94.56454293314744,171.47044455300443
2022-11-08 14:31:34,96.21758011545779,168.5393258426966
2022-11-08 14:31:37,94.54703667291847,174.40156326331226
2022-11-08 14:31:40,95.27581197909602,166.58524670249153
2022-11-08 14:31:43,95.00501416451925,174.40156326331226
2022-11-08 14:31:46,95.33744431201262,174.40156326331226
2022-11-08 14:31:49,95.65813496677856,174.40156326331226
2022-11-08 14:31:52,95.98517593267968,169.51636541279913
2022-11-08 14:31:55,95.30946862225886,173.4245236932095
2022-11-08 14:31:58,96.53500979958807,174.40156326331226
2022-11-08 14:32:01,94.85080461011347,174.40156326331226
2022-11-08 14:32:04,94.47670269931848,169.51636541279913
2022-11-08 14:32:07,93.89983710645396,166.58524670249153
2022-11-08 14:32:10,94.42933281881369,175.3786028334148
2022-11-08 14:32:13,94.00597309796746,170.4934049829019
2022-11-08 14:32:16,96.2088613109803,168.5393258426966
2022-11-08 14:32:19,94.84661683752307,165.60820713238877
2022-11-08 14:32:22,94.23352015140466,169.51636541279913
2022-11-08 14:32:25,96.3080119621963,164.63116756228624
2022-11-08 14:32:28,95.85192240014197,164.63116756228624
2022-11-08 14:32:32,96.17800223747577,168.5393258426966
